"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19","20,616.01","20,174.42","20,673.85","20,002.53","-","2.11%"
"Jan 19","20,190.87","19,370.80","20,249.03","19,215.02","-","4.34%"
"Dec 18","19,350.40","19,171.90","19,553.93","18,940.74","-","0.88%"
"Nov 18","19,180.97","18,876.30","19,461.22","18,806.78","-","1.44%"
"Oct 18","18,909.40","19,571.77","19,893.51","18,571.51","-","-3.35%"
"Sep 18","19,564.07","19,443.11","19,669.21","18,729.73","-","0.62%"
"Aug 18","19,443.11","20,512.03","20,512.21","19,364.45","-","-5.09%"
"Jul 18","20,485.72","19,853.77","20,516.68","19,653.65","-","3.46%"
"Jun 18","19,800.26","20,814.29","21,366.13","19,795.95","-","-4.87%"
"May 18","20,814.29","21,468.41","21,491.28","20,680.95","-","-2.87%"
"Apr 18","21,428.86","20,560.11","21,581.82","20,543.67","-","4.23%"
"Mar 18","20,558.84","20,837.52","21,166.54","20,508.63","-","-1.31%"
"Feb 18","20,831.78","21,068.89","21,126.34","19,977.58","-","-1.13%"
"Jan 18","21,068.89","19,974.38","21,466.60","19,968.77","-","5.48%"
"Dec 17","19,974.38","19,689.83","19,981.50","18,469.17","-","1.42%"
"Nov 17","19,694.09","19,956.38","20,208.74","19,347.97","-","-0.91%"
"Oct 17","19,874.12","18,572.06","19,967.38","18,557.60","-","7.21%"
"Sep 17","18,538.27","17,616.44","18,574.36","17,616.44","-","5.23%"
"Aug 17","17,616.44","16,747.58","17,684.03","16,718.46","-","5.17%"
"Jul 17","16,750.17","16,097.89","16,861.00","16,097.89","-","3.83%"
"Jun 17","16,132.87","16,017.21","16,221.96","15,816.21","-","0.83%"
"May 17","16,000.08","15,559.54","16,268.76","15,484.40","-","2.83%"
"Apr 17","15,559.30","15,744.88","16,024.64","15,463.86","-","-1.25%"
"Mar 17","15,757.01","15,799.93","16,050.06","15,003.50","-","-0.06%"
"Feb 17","15,766.12","15,986.39","16,542.42","15,734.23","-","-1.36%"
"Jan 17","15,983.95","15,566.96","16,243.51","15,532.71","-","2.68%"
"Dec 16","15,566.96","15,417.22","15,666.31","15,294.29","-","0.99%"
"Nov 16","15,414.97","15,197.89","15,888.64","14,993.07","-","1.61%"
"Oct 16","15,171.04","15,296.98","15,363.47","14,953.68","-","-0.82%"
"Sep 16","15,296.98","15,133.36","15,774.32","15,039.43","-","1.10%"
"Aug 16","15,130.24","15,200.99","15,610.69","15,101.80","-","-0.53%"
"Jul 16","15,210.97","13,871.24","15,213.82","13,683.50","-","9.77%"
"Jun 16","13,856.90","13,543.59","14,111.53","13,245.51","-","2.37%"
"May 16","13,535.97","13,649.09","13,817.16","13,124.82","-","-1.22%"
"Apr 16","13,702.47","12,112.49","13,704.53","11,316.91","-","13.64%"
"Mar 16","12,057.93","10,762.05","12,145.06","10,732.55","-","12.25%"
"Feb 16","10,742.19","9,402.94","10,771.89","9,224.07","-","14.38%"
"Jan 16","9,391.84","9,863.58","9,879.77","8,813.32","-","-4.64%"
"Dec 15","9,848.59","10,222.24","10,323.76","9,627.14","-","-3.69%"
"Nov 15","10,226.18","10,543.36","10,676.87","10,190.52","-","-3.03%"
"Oct 15","10,545.61","10,033.05","10,829.40","10,006.75","-","5.13%"
"Sep 15","10,030.57","10,340.65","10,350.78","9,833.33","-","-3.00%"
"Aug 15","10,340.49","12,009.70","12,026.53","9,701.83","-","-13.74%"
"Jul 15","11,987.88","13,129.26","13,175.11","11,932.17","-","-8.58%"
"Jun 15","13,113.17","13,181.23","13,330.64","12,888.73","-","-0.51%"
"May 15","13,180.61","13,433.32","13,834.28","13,070.38","-","-1.39%"
"Apr 15","13,366.86","12,464.23","13,386.77","12,456.83","-","7.26%"
"Mar 15","12,461.81","13,412.56","13,433.70","12,310.42","-","-6.98%"
"Feb 15","13,397.42","13,681.43","14,089.39","13,313.06","-","-1.99%"
"Jan 15","13,669.78","14,754.14","14,821.22","13,366.90","-","-7.60%"
"Dec 14","14,794.32","15,109.61","15,212.13","14,077.30","-","-2.07%"
"Nov 14","15,106.46","15,673.51","15,708.18","15,049.32","-","-3.62%"
"Oct 14","15,673.23","16,223.78","16,317.48","15,404.87","-","-3.41%"
"Sep 14","16,226.61","17,009.54","17,260.33","16,162.10","-","-4.61%"
"Aug 14","17,010.82","16,860.47","17,105.05","16,709.67","-","0.86%"
"Jul 14","16,866.07","16,662.28","17,449.30","16,652.58","-","1.22%"
"Jun 14","16,662.28","15,753.35","16,727.85","15,644.55","-","5.77%"
"May 14","15,753.25","15,528.07","16,174.18","15,508.79","-","1.45%"
"Apr 14","15,528.38","14,298.92","15,552.90","14,226.24","-","8.60%"
"Mar 14","14,298.92","15,443.42","15,487.95","13,978.09","-","-7.40%"
"Feb 14","15,441.26","15,451.61","15,616.86","15,011.38","-","-0.07%"
"Jan 14","15,452.05","15,753.65","16,610.50","15,331.56","-","-1.91%"
"Dec 13","15,753.65","15,197.22","15,770.65","14,636.69","-","3.64%"
"Nov 13","15,200.40","16,338.83","16,535.50","14,999.39","-","-6.87%"
"Oct 13","16,322.01","15,917.77","16,472.97","15,386.73","-","2.53%"
"Sep 13","15,919.71","16,648.53","17,144.74","15,761.83","-","-4.40%"
"Aug 13","16,652.22","15,111.56","16,955.76","15,013.86","-","10.14%"
"Jul 13","15,118.46","15,564.26","15,725.88","14,633.63","-","-2.77%"
"Jun 13","15,549.55","16,046.69","16,871.49","15,060.59","-","-3.12%"
"May 13","16,049.65","17,350.99","18,008.89","15,913.79","-","-7.51%"
"Apr 13","17,352.92","19,858.95","19,984.00","17,342.47","-","-12.62%"
"Mar 13","19,858.95","20,613.79","20,682.32","19,586.20","-","-3.65%"
"Feb 13","20,611.68","21,437.12","21,810.76","20,523.47","-","-3.84%"
"Jan 13","21,435.29","20,617.19","22,000.77","20,617.19","-","3.91%"
