"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15","3,983.72","3,836.33","4,037.87","3,832.45","-","3.83%"
"Jan 15","3,836.73","3,852.21","3,900.74","3,725.67","-","-0.37%"
"Dec 14","3,850.96","3,991.78","3,994.64","3,717.22","-","-3.53%"
"Nov 14","3,991.78","3,851.10","4,005.78","3,847.13","-","3.66%"
"Oct 14","3,850.97","3,943.56","3,954.32","3,751.73","-","-2.35%"
"Sep 14","3,943.56","3,997.15","4,120.17","3,915.20","-","-1.33%"
"Aug 14","3,996.63","3,875.44","3,999.26","3,874.63","-","3.13%"
"Jul 14","3,875.44","3,875.73","3,985.85","3,858.78","-","-0.01%"
"Jun 14","3,875.73","3,903.81","3,945.18","3,823.59","-","-0.72%"
"May 14","3,903.81","3,910.38","3,972.55","3,867.45","-","-0.15%"
"Apr 14","3,909.64","3,782.10","3,918.91","3,757.82","-","3.63%"
"Mar 14","3,772.76","3,720.03","3,786.73","3,607.26","-","1.45%"
"Feb 14","3,718.88","3,442.67","3,722.86","3,383.64","-","8.13%"
"Jan 14","3,439.41","3,704.16","3,728.87","3,369.63","-","-7.02%"
"Dec 13","3,699.19","3,783.35","3,783.79","3,642.44","-","-2.37%"
"Nov 13","3,789.06","3,915.85","3,941.42","3,667.32","-","-3.15%"
"Oct 13","3,912.44","3,823.85","3,940.55","3,774.72","-","2.32%"
"Sep 13","3,823.85","3,628.73","4,414.61","3,513.99","-","5.38%"
"Aug 13","3,628.73","3,732.54","3,855.89","3,531.18","-","-2.78%"
"Jul 13","3,732.54","4,029.67","4,038.35","3,708.66","-","-7.37%"
"Jun 13","4,029.67","4,191.26","4,210.42","3,723.89","-","-3.86%"
"May 13","4,191.26","4,292.14","4,367.02","4,122.94","-","-2.35%"
"Apr 13","4,292.14","4,432.14","4,439.91","4,212.39","-","-3.16%"
"Mar 13","4,432.14","4,558.46","4,600.89","4,228.89","-","-2.77%"
"Feb 13","4,558.46","4,552.40","4,618.59","4,458.73","-","0.13%"
"Jan 13","4,552.40","4,301.38","4,554.96","4,301.38","-","5.84%"
"Dec 12","4,301.38","4,139.99","4,305.67","4,123.09","-","3.90%"
"Nov 12","4,139.99","4,266.35","4,279.35","4,103.67","-","-2.96%"
"Oct 12","4,266.35","4,230.42","4,324.08","4,214.33","-","0.85%"
"Sep 12","4,230.42","4,155.68","4,237.96","4,103.69","-","1.80%"
"Aug 12","4,155.68","4,227.56","4,291.22","4,112.30","-","-1.70%"
"Jul 12","4,227.56","4,400.10","4,428.69","4,176.68","-","-3.92%"
